Attribute	Manifest Name	Description	Required	Conditional If	Data Type	Valid Values
UMI Tag	"10x Visium Spatial Transcriptomics - RNA-seq Level 2,Slide-seq Level 2"	"SAM tag for the UMI field; please provide a valid UB, UMI (e.g. UB:Z or UR:Z)"	TRUE		String	
Spatial Barcode Tag	"10x Visium Spatial Transcriptomics - RNA-seq Level 2,Slide-seq Level 2"	SAM tag for spot barcode field; please provide a valid spot barcode tag (e.g. CB:Z)	TRUE		String	
Applied Hard Trimming	"10x Visium Spatial Transcriptomics - RNA-seq Level 2,Slide-seq Level 2"	Was Hard Trimming applied	TRUE		String	Yes - Applied Hard Trimming no
Genomic Reference	"10x Visium Spatial Transcriptomics - RNA-seq Level 2,Slide-seq Level 2"	Exact version of the human genome reference used in the alignment of reads (e.g. GCF_000001405.39)	TRUE	"Pseudo Alignment Used is ""Yes - Pseudo Alignment Used"""	String	
Genomic Reference URL	"10x Visium Spatial Transcriptomics - RNA-seq Level 2,Slide-seq Level 2"	Link to human genome sequence (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/GRCh38.primary_assembly.genome.fa.gz)	TRUE	"Pseudo Alignment Used is ""Yes - Pseudo Alignment Used"""	String	
Genome Annotation URL	"10x Visium Spatial Transcriptomics - RNA-seq Level 2,Slide-seq Level 2"	Link to the human genome annotation (GTF) file (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/gencode.v34.annotation.gtf.gz)	TRUE		String	
Spots under tissue	10x Visium Spatial Transcriptomics - RNA-seq Level 3	The number of barcodes associated with a spot under tissue.	TRUE		String	
Mean Reads per Spatial Spot	10x Visium Spatial Transcriptomics - RNA-seq Level 3	"The number of reads, both under and outside of tissue, divided by the number of barcodes associated with a spot under tissue."	TRUE		String	
Proportion Reads Mapped	10x Visium Spatial Transcriptomics - RNA-seq Level 3	Proportion of mapped reads collected from samtools. Number	FALSE		String	
Proportion Reads Mapped to Transcriptome	10x Visium Spatial Transcriptomics - RNA-seq Level 3	Fraction of reads that mapped to a unique gene in the transcriptome. The read must be consistent with annotated splice junctions. These reads are considered for UMI counting.	TRUE		String	
Visium File Type	"10x Visium Spatial Transcriptomics - RNA-seq Level 3,10x Visium Spatial Transcriptomics - Auxiliary Files"	The file type generated for the visium experiment.	TRUE		String	reference png reference jpg json scale factors probe dataset csv qc result html filtered mex unfiltered mex tissue_positions barcodes features fiducial image png fiducial image jpg detected image png detected jpg high res image low res image
Sequencing Saturation	"10x Visium Spatial Transcriptomics - RNA-seq Level 3,NanoString GeoMx DSP ROI DCC Segment Annotation Metadata"	"The fraction of reads originating from an already-observed UMI. This is a function of library complexity and sequencing depth. More specifically, this is the fraction of confidently mapped, valid spot-barcode, valid UMI reads that had a non-unique (spot-barcode, UMI, gene)."	TRUE		String	
Median Number Genes per Spatial Spot	"10x Visium Spatial Transcriptomics - RNA-seq Level 3,Slide-seq Level 3"	The median number of genes detected per spot under tissue-associated barcode. Detection is defined as the presence of at least 1 UMI count.	TRUE		String	
Median UMI Counts per Spot	"10x Visium Spatial Transcriptomics - RNA-seq Level 3,Slide-seq Level 3"	The median number of UMI counts per tissue covered spot.	TRUE		String	
Visium Workflow Type	10x Visium Spatial Transcriptomics - RNA-seq Level 4	Generic name for the workflow used to analyze the visium data set.	TRUE		String	
Visium Workflow Parameters Description	10x Visium Spatial Transcriptomics - RNA-seq Level 4	Parameters used to run the workflow..	TRUE		String	
CosMx Bundle Contents	Nanostring CosMx SMI Experiment	A comma separated list of filenames within the CosMx bundle zip file	TRUE		String	
CosMx Assay Type	Nanostring CosMx SMI Experiment	The specification for barcodes on each image. Either RNA probe or protein antibody according to the assay	TRUE		String	RNA protein
Number of FOVs	Nanostring CosMx SMI Experiment	The total number of FOVs recorded for the sample on a single flow cell	TRUE		String	
Mean Total Transcripts per Area	Nanostring CosMx SMI Experiment	The mean total transcripts per um3	TRUE		String	
Unique Genes	Nanostring CosMx SMI Experiment	The total unique genes detected above background	FALSE		String	
Total Negative Probe Counts	Nanostring CosMx SMI Experiment	Mean Total Negative probe counts/cell	TRUE		String	
Slide name	NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	"Similar to a Run ID, the slide name indicates the slide a given ROI is linked to (as reported in Segment Summary)."	FALSE		String	
MapQ30	NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	Number of reads with Quality >= 30.	FALSE		String	
Raw reads	NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	Reads not yet analyzed in any way to be used for data analysis. The number of reads that pass filter from the flow cell represented in the FASTQ file.	FALSE		String	
Stitched reads	NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	"Represents consensus from the overlapping sequence of read 1 and 2. This is a % of the aligned reads that were overlapped and consensus confirmed, usually upward of 80% but less in terms of number of reads than aligned reads"	FALSE		String	
Aligned reads	NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	Is a sequence that has been aligned to a gene/probe. Typically these reads can number from the hundreds of thousands to tens of millions. In GeoMx alignment is via mapping the RTS ID to a white list of sequences that represent targets.	FALSE		String	
Deduplicated reads	NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	Is the replacement of blocks of duplicate data with a Virtual Index Pointer linking the new sub-block to the existing block of data in a duplicate repository. This is used to reduce the amount of space need to store the data.	FALSE		String	
In Situ Negative median	NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	Is the median of all negative control probes for a given segment. A measure of signal to background for each segment.	FALSE		String	
Biological probe median	NanoString GeoMx DSP ROI DCC Segment Annotation Metadata	Is the median count from all probes except the negative control probes. A measure of signal to background for each segment	FALSE		String	
Scan name	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	GeoMx Scan name (as appears in Segment Summary)	TRUE		String	
Segment name	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	Name given to segment at time of generation	TRUE		String	
ROI X Coordinate	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	X location within the image	TRUE		String	
ROI Y Coordinate	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	Y location within the image	TRUE		String	
Tags	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	Unique descriptor of a variable group (ie. MAPK+)	TRUE		String	
Scan Height	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	Height of the scan for GeoMx Analysis	TRUE		String	
Scan Width	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	Width of the scan for GeoMx Analysis	TRUE		String	
Scan Offset X	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	Offset X of the scan for GeoMx Analysis	TRUE		String	
Scan Offset Y	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	Offset Y of the scan for GeoMx Analysis	TRUE		String	
Nuclei count	"NanoString GeoMx DSP ROI DCC Segment Annotation Metadata,NanoString GeoMx DSP ROI RCC Segment Annotation Metadata"	Number of nuclei detected in the segment (if applicable)	TRUE		String	
QC status	NanoString GeoMx DSP ROI RCC Segment Annotation Metadata	ROI quality control flag as reported by the application	FALSE		String	
Binding Density	NanoString GeoMx DSP ROI RCC Segment Annotation Metadata	The binding density as reported by the application	FALSE		String	
Positive norm factor	NanoString GeoMx DSP ROI RCC Segment Annotation Metadata	The Positive Control Normalization factor calculated using pos-hyb controls	FALSE		String	
Tissue Stain	NanoString GeoMx DSP ROI RCC Segment Annotation Metadata	e.g. CD45 or PanCK (if masking was performed)	FALSE		String	
Synapse ID of GeoMx DSP PKC File	NanoString GeoMx DSP Spatial Transcriptomics Level 1	The Synapse ID(s) associated with the PKC mapping file for the assay. Multiple files are listed as comma separated values.	TRUE		String	
GeoMx DSP NGS Sequencing Platform	NanoString GeoMx DSP Spatial Transcriptomics Level 1	A platform is an object aggregate that is the set of instruments and software needed to perform a process [OBI_0000050]. Specific model of the sequencing instrument.	FALSE		String	
GeoMx DSP NGS Library Selection Method	NanoString GeoMx DSP Spatial Transcriptomics Level 1	How RNA molecules are isolated.	FALSE		String	
GeoMx DSP NGS Library Preparation Kit Name	NanoString GeoMx DSP Spatial Transcriptomics Level 1	Name of Library Preparation Kit. String	FALSE		String	
GeoMx DSP Library Preparation Kit Vendor	NanoString GeoMx DSP Spatial Transcriptomics Level 1	Vendor of Library Preparation Kit. String	FALSE		String	
GeoMx DSP Library Preparation Kit Version	NanoString GeoMx DSP Spatial Transcriptomics Level 1	Version of Library Preparation Kit. String	FALSE		String	
Synapse ID of GeoMx Lab Worksheet File	NanoString GeoMx DSP Spatial Transcriptomics Level 1	Synapse ID(s) of Lab Worksheet Files output from the GeoMx DSP workflow. Multiple files are listed as comma separated values.	FALSE		String	
Software and Version	"NanoString GeoMx DSP Spatial Transcriptomics Level 1,10X Genomics Xenium ISS Experiment,Nanostring CosMx SMI Experiment"	Name of software used to generate expression values. String	TRUE	"Pseudo Alignment Used is ""Yes - Pseudo Alignment Used"""	String	
GeoMx DSP Assay Type	NanoString GeoMx DSP Spatial Transcriptomics Level 3	The assay type which was used for the GeoMx DSP pipeline.	TRUE		String	RNA nCounter Protein nCounter Protein NGS RNA NGS
Synapse ID of GeoMx DSP ROI Segment Annotation File	NanoString GeoMx DSP Spatial Transcriptomics Level 3	Synapse ID(s) for ROI/Segmentation annotations in the GeoMx DSP experiment.	TRUE		String	
GeoMx DSP Unique Probe Count	NanoString GeoMx DSP Spatial Transcriptomics Level 3	Total number of unique probes reported.	FALSE		String	
GeoMx DSP Unique Target Count	NanoString GeoMx DSP Spatial Transcriptomics Level 3	Total number of unique genes reported.	FALSE		String	
GeoMx DSP Genomic Reference	NanoString GeoMx DSP Spatial Transcriptomics Level 3	Exact version of the human genome reference used in the alignment of reads (e.g. https://www.gencodegenes.org/human/). Only applicable to some applications in GeoMx	FALSE		String	
GeoMx DSP Workflow Type	NanoString GeoMx DSP Spatial Transcriptomics Level 3	Generic name for the workflow used to analyze the GeoMx DSP data set.	FALSE		String	
GeoMx DSP Workflow Parameter Description	NanoString GeoMx DSP Spatial Transcriptomics Level 3	Parameters used to run the GeoMx DSP workflow.	FALSE		String	
GeoMx DSP Workflow Link	NanoString GeoMx DSP Spatial Transcriptomics Level 3	Link to workflow or command. DockStore.org recommended. URL	FALSE		String	
Matrix Type	"NanoString GeoMx DSP Spatial Transcriptomics Level 3,Slide-seq Level 3"	Type of data stored in matrix.	TRUE		String	Raw Counts Normalized Counts Scaled Counts Batch Corrected Counts
Nucleic Acid Source	Slide-seq Level 1	The source of the input nucleic molecule	TRUE		String	Single Cell Bulk Whole Cell Single Nucleus Bulk Nuclei Micro-region
Spatial Barcode Offset	Slide-seq Level 1	Offset in sequence for spot barcode read (in bp): number	TRUE	"Spatial Read2 is ""Spatial Barcode and UMI"""	String	
Spike In	Slide-seq Level 1	A set of known synthetic RNA molecules with known sequence that are added to the cell lysis mix	TRUE		String	ERCC Other Spike In No Spike In PhiX
Technical Replicate Group	Slide-seq Level 1	A common term for all files belonging to the same cell or library. Provide a numbering of each library prep batch (can differ from encapsulation and sequencing batch)	FALSE		String	
Nucleic Acid Capture Days from Index	Slide-seq Level 1	Number of days between sample for single cell assay was received in lab and day of nucleic acid capture part of library construction (in number of days since sample received in lab) [number]. If not applicable please enter 'Not Applicable'	TRUE		String	
Spatial Barcode Length	Slide-seq Level 1	Length of spot barcode read (in bp): number	TRUE	"Spatial Read2 is ""Spatial Barcode and UMI"""	String	
UMI Barcode Offset	Slide-seq Level 1	"Start position of UMI barcode in the sequence. Values: number, 0 for start of read"	TRUE	"Spatial Read2 is ""Spatial Barcode and UMI"""	String	
UMI Barcode Length	Slide-seq Level 1	Length of UMI barcode read (in bp): number	TRUE	"Spatial Read2 is ""Spatial Barcode and UMI"""	String	
ERCC	Slide-seq Level 1	The External RNA Controls Consortium (ERCC) spike in set is commonly used in single-cell experiments for normalization	FALSE		String	
Spike In Concentration	Slide-seq Level 1	The final concentration or dilution (for commercial sets) of the spike in mix [PMID:21816910]	TRUE	"Spike In is ""ERCC"""	String	
Spatial Barcode and UMI	"Slide-seq Level 1,10x Visium Spatial Transcriptomics - RNA-seq Level 1"	Spot and transcript identifiers	TRUE		String	
Matched Spatial Barcode Tag	Slide-seq Level 2	SAM tag for matched spot barcode field; please provide a valid spot barcode tag (e.g. CB:Z) (Slide-seq specific)	TRUE		String	
Slide-seq Workflow Type	"Slide-seq Level 2,Slide-seq Level 3"	Generic name for the workflow used to analyze the Slide-seq data set. String	TRUE		String	
Slide-seq Workflow Parameter Description	"Slide-seq Level 2,Slide-seq Level 3"	Parameters used to run the Slide-seq workflow. String	TRUE		String	
Sequencing Batch ID	Slide-seq Level 3	Links samples to a specific local sequencer run. Can be string or 'null'	TRUE		String	
Data Category	Slide-seq Level 3	Specific content type of the data file.	TRUE		String	Gene Expression Transcript Expression Exon Expression Quantification Gene Expression Quantification Isoform Expression Quantification Splice Junction Quantification Other
Beads Total	Slide-seq Level 3	Number of sequenced beads. Applies to raw counts matrix only. Integer	FALSE		String	
Slide-seq Bead File Type	Slide-seq Level 3	The type of Level 3 file submitted as part of the Slide-seq workflow.	TRUE		String	Matrix Features Matrix Barcodes All Bead Locations All Bead Barcodes Matched Bead Barcodes Matched Bead Locations Not Applicable
Slide-seq Fragment Size	Slide-seq Level 3	Average cDNA length associated with the experiemtn. Integer	FALSE		String	